ticker,volatility,avg_price,len,rmse_standard,rmse_tuned,winsorized_pct
RELY,Medium-High,16.910711773143095,850,13.193365651439697,9.002741983933383,0.3411764705882353
QLTA,Low,42.78205478432276,3266,1.7947882769328354,1.6736290931581597,0.5419473361910594
USHY,Low,30.812321092155027,1833,2.082742598851701,2.0971496003061696,0.5673758865248227
MOAT,Low,46.5528440069582,3219,3.6664652767151606,3.5647381760692065,0.5538987263125195
TNDM,Medium-High,73.54018392729851,2827,35.40602591474579,13.371086922156074,0.3056243367527414
CGMU,Low,25.7916132996722,574,1.7910755888553933,0.877975316310121,0.5418118466898955
GOGO,Medium-High,11.701056332138872,2929,5.136021089613322,4.878684427602987,0.3181973369750768
HRTX,Medium-High,215.19310235189644,9438,5.4467538081208975,5.0099361552643105,0.24242424242424243
VYM,Low,58.16552822507231,4587,16.904703496339195,11.160028586995269,0.5650752125572269
CGSD,Low,24.235161040302767,574,0.9458483012415791,0.7906331527584403,0.5696864111498258
CHWY,Medium-High,43.24297045723776,1424,31.346076008517606,17.49147954404836,0.2984550561797753
MPNGY,Medium-High,45.233815139194704,1325,31.668995235654634,8.831123809454983,0.2981132075471698
GTE,Medium-High,31.423844236203568,4815,6.819656464155395,6.893656363721519,0.2720664589823468
RPTX,Medium-High,15.747581338841622,1168,1.7578600665835185,1.8295726062188467,0.2808219178082192
DAR,Medium-High,16.932393577320514,7658,21.217293945010884,21.031559217651584,0.2667798380778271
BOOM,Medium-High,14.077830819460177,9094,22.04497823042644,13.831664083195335,0.25313393446228283
ENFY,Medium-High,36.60931764681721,4234,5.912354589359269,5.92096669197363,0.2442135096835144
GPRE,Medium-High,17.474652703706646,4759,13.923600248544618,11.457428269180635,0.29375919310779575
EXPI,Medium-High,15.605687807854508,1763,8.851436284832959,10.394111284343028,0.30516165626772546
PLCE,Medium-High,44.30769508630816,6892,46.42745412558018,37.79566015454795,0.3077481137550784
RDN,Medium-High,18.959128304023327,8127,5.814449462769997,5.079191014670752,0.3055247938968869
FLGT,Medium-High,29.32260785390669,2104,16.323517038261354,13.388411043986022,0.2799429657794677
OPRT,Medium-High,11.1538794416295,1352,1.5793329502025368,1.6657628759163798,0.3158284023668639
TWI,Medium-High,10.697216091786675,7988,5.640270750100973,5.413164581964838,0.2826740110165248
EVER,Medium-High,20.399453452113157,1665,12.107996593268744,4.4912259107243795,0.3387387387387387
MRUS,Medium-High,22.23146309683232,2196,27.865598957281065,19.927337335085113,0.28324225865209474
WRBY,Medium-High,19.36507092920037,846,4.351929366110637,2.611049391794972,0.2860520094562648
CWH,Medium-High,21.227281602140376,2098,3.148298337157015,3.086636564944656,0.3064823641563394
